date,opponent,venue,poss,poss_end,half,clock,mp_score,opp_score,lead,garbage,lineup,event,shot_type,result,assisted,pip,scp,pot,foul_type,bonus,ftm,fta,to_type,pts,notes
2025-11-01,LA Valley,Home,49,dreb,2,14:18,72,47,25,,#5 Tidiane Sy / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,50,dreb,2,13:38,75,47,28,,#5 Tidiane Sy / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,shot,3pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,50,dreb,2,13:38,75,47,28,,#5 Tidiane Sy / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,51,made_fg,2,13:08,77,49,28,,#5 Tidiane Sy / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,shot,2pa,made,1,1,,,,,,,,2,
2025-11-01,LA Valley,Home,52,made_ft,2,13:08,77,49,28,,#5 Tidiane Sy / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,foul,,,,,,,shooting,,2,2,,2,
2025-11-01,LA Valley,Home,53,made_ft,2,13:08,77,49,28,,#5 Tidiane Sy / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,foul,,,,,,,shooting,,2,2,,2,
2025-11-01,LA Valley,Home,54,made_fg,2,11:35,77,53,24,,#5 Tidiane Sy / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,shot,3pa,made,1,,,,,,,,,3,
2025-11-01,LA Valley,Home,55,dreb,2,11:02,79,56,23,,#5 Tidiane Sy / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,shot,3pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,55,dreb,2,11:02,79,56,23,,#5 Tidiane Sy / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,oreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,55,dreb,2,11:02,79,56,23,,#5 Tidiane Sy / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,shot,3pa,missed,,,,,,,,,,0,
