date,opponent,venue,side,poss,poss_end,half,clock,mp_score,opp_score,lead,garbage,lineup,event,shot_type,result,assisted,pip,scp,pot,foul_type,bonus,ftm,fta,to_type,pts,notes
2025-11-19,Palomar,Home,def,64,made_fg,2,9:38,54,63,9,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #5 Tidiane Sy / #20 Jake Field,shot,2pa,missed,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,64,made_fg,2,9:38,54,63,9,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #5 Tidiane Sy / #20 Jake Field,oreb,,,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,64,made_fg,2,9:38,54,63,9,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #5 Tidiane Sy / #20 Jake Field,shot,2pa,made,,1,1,1,,,,,,2,
2025-11-19,Palomar,Home,def,65,dreb,2,7:23,59,65,6,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #14 Jozef Zlocha / #24 Aeneas Grullon,foul,,,,,,,nonshoot,,,,,0,
2025-11-19,Palomar,Home,def,65,dreb,2,7:23,59,65,6,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #14 Jozef Zlocha / #24 Aeneas Grullon,shot,2pa,missed,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,65,dreb,2,7:23,59,65,6,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #14 Jozef Zlocha / #24 Aeneas Grullon,dreb,,,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,66,dreb,2,7:23,59,65,6,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #14 Jozef Zlocha / #24 Aeneas Grullon,shot,3pa,missed,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,66,dreb,2,7:23,59,65,6,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #14 Jozef Zlocha / #24 Aeneas Grullon,dreb,,,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,67,dreb,2,7:23,59,65,6,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #14 Jozef Zlocha / #24 Aeneas Grullon,shot,2pa,blocked,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,67,dreb,2,7:23,59,65,6,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #14 Jozef Zlocha / #24 Aeneas Grullon,dreb,,,,,,,,,,,,0,
